date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:13:07	45420/45420	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Mar%202022%2011:01:59%20GMT	https://watch--bein.blogspot.com/p/bein-premium-3.html	C:/Users/DAMERGI/Downloads/watch%20bein/watch--bein.blogspot.com/p/bein-premium-3.html	(from https://watch--bein.blogspot.com/)
15:13:07	17341/17341	---M--	200	added ('OK')	image/png	etag:%22v7e7c%22	https://lh3.googleusercontent.com/-bvyVOsoEUW8/YWQj5ubI_II/AAAAAAAAfng/b2Vz6EfusuwLTN1mwBZCQQP5UdtAPURXACLcBGAsYHQ/pr3.png	C:/Users/DAMERGI/Downloads/watch%20bein/lh3.googleusercontent.com/-bvyVOsoEUW8/YWQj5ubI_II/AAAAAAAAfng/b2Vz6EfusuwLTN1mwBZCQQP5UdtAPURXACLcBGAsYHQ/pr3.png	(from https://watch--bein.blogspot.com/)
15:13:07	45298/45298	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Mar%202022%2011:01:59%20GMT	https://watch--bein.blogspot.com/p/bein1en.html	C:/Users/DAMERGI/Downloads/watch%20bein/watch--bein.blogspot.com/p/bein1en.html	(from https://watch--bein.blogspot.com/)
15:13:07	16289/16289	---M--	200	added ('OK')	image/png	etag:%22v7e86%22	https://lh3.googleusercontent.com/-9V1AfVJCqdE/YWQp0q0uR2I/AAAAAAAAfn8/XoEUk-iZtL40PpKMY4MrYObvR-q6y-eYQCLcBGAsYHQ/en1.png	C:/Users/DAMERGI/Downloads/watch%20bein/lh3.googleusercontent.com/-9V1AfVJCqdE/YWQp0q0uR2I/AAAAAAAAfn8/XoEUk-iZtL40PpKMY4MrYObvR-q6y-eYQCLcBGAsYHQ/en1.png	(from https://watch--bein.blogspot.com/)
15:13:08	45298/45298	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Mar%202022%2011:01:59%20GMT	https://watch--bein.blogspot.com/p/bein2en.html	C:/Users/DAMERGI/Downloads/watch%20bein/watch--bein.blogspot.com/p/bein2en.html	(from https://watch--bein.blogspot.com/)
15:13:08	17727/17727	---M--	200	added ('OK')	image/png	etag:%22v7e85%22	https://lh3.googleusercontent.com/-CUD1PMe5Gec/YWQp0DG5oZI/AAAAAAAAfn0/z3GLnWwM8FkYORdZwMELu9edMVAsSPH4ACLcBGAsYHQ/en2.png	C:/Users/DAMERGI/Downloads/watch%20bein/lh3.googleusercontent.com/-CUD1PMe5Gec/YWQp0DG5oZI/AAAAAAAAfn0/z3GLnWwM8FkYORdZwMELu9edMVAsSPH4ACLcBGAsYHQ/en2.png	(from https://watch--bein.blogspot.com/)
15:13:09	45298/45298	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Mar%202022%2011:01:59%20GMT	https://watch--bein.blogspot.com/p/bein3en.html	C:/Users/DAMERGI/Downloads/watch%20bein/watch--bein.blogspot.com/p/bein3en.html	(from https://watch--bein.blogspot.com/)
15:13:09	17397/17397	---M--	200	added ('OK')	image/png	etag:%22v7e83%22	https://lh3.googleusercontent.com/-iuIB09SXKoc/YWQp0Vk0m3I/AAAAAAAAfn4/BYuq_Otgzbk8abjIgvbS2m2DsSIi3-V3ACLcBGAsYHQ/en3.png	C:/Users/DAMERGI/Downloads/watch%20bein/lh3.googleusercontent.com/-iuIB09SXKoc/YWQp0Vk0m3I/AAAAAAAAfn4/BYuq_Otgzbk8abjIgvbS2m2DsSIi3-V3ACLcBGAsYHQ/en3.png	(from https://watch--bein.blogspot.com/)
15:13:10	45301/45301	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Mar%202022%2011:01:59%20GMT	https://watch--bein.blogspot.com/p/bein1fr.html	C:/Users/DAMERGI/Downloads/watch%20bein/watch--bein.blogspot.com/p/bein1fr.html	(from https://watch--bein.blogspot.com/)
15:13:10	15924/15924	---M--	200	added ('OK')	image/png	etag:%22v7e84%22	https://lh3.googleusercontent.com/-Jk-bB14HP10/YWQp004sQRI/AAAAAAAAfoA/pm6Ggyre3jM8IgsjdqjiUEFrEjKGx9BPgCLcBGAsYHQ/fr1.png	C:/Users/DAMERGI/Downloads/watch%20bein/lh3.googleusercontent.com/-Jk-bB14HP10/YWQp004sQRI/AAAAAAAAfoA/pm6Ggyre3jM8IgsjdqjiUEFrEjKGx9BPgCLcBGAsYHQ/fr1.png	(from https://watch--bein.blogspot.com/)
15:13:10	45301/45301	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Mar%202022%2011:01:59%20GMT	https://watch--bein.blogspot.com/p/bein2fr.html	C:/Users/DAMERGI/Downloads/watch%20bein/watch--bein.blogspot.com/p/bein2fr.html	(from https://watch--bein.blogspot.com/)
15:13:10	17346/17346	---M--	200	added ('OK')	image/png	etag:%22v7e85%22	https://lh3.googleusercontent.com/-k7tWhas-i1M/YWQp1HWI4LI/AAAAAAAAfoE/iotSkCkjlqUEsigWfc8BqZkXY6mEnb2DgCLcBGAsYHQ/fr2.png	C:/Users/DAMERGI/Downloads/watch%20bein/lh3.googleusercontent.com/-k7tWhas-i1M/YWQp1HWI4LI/AAAAAAAAfoE/iotSkCkjlqUEsigWfc8BqZkXY6mEnb2DgCLcBGAsYHQ/fr2.png	(from https://watch--bein.blogspot.com/)
15:13:11	45301/45301	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Mar%202022%2011:01:59%20GMT	https://watch--bein.blogspot.com/p/bein3fr.html	C:/Users/DAMERGI/Downloads/watch%20bein/watch--bein.blogspot.com/p/bein3fr.html	(from https://watch--bein.blogspot.com/)
15:13:11	17094/17094	---M--	200	added ('OK')	image/png	etag:%22v7e86%22	https://lh3.googleusercontent.com/-GZfPGcKvJpE/YWQp1XM3_kI/AAAAAAAAfoI/MoUFGlJ2rJgPbSNpH_ErXX38lh1pz0l4ACLcBGAsYHQ/fr3.png	C:/Users/DAMERGI/Downloads/watch%20bein/lh3.googleusercontent.com/-GZfPGcKvJpE/YWQp1XM3_kI/AAAAAAAAfoI/MoUFGlJ2rJgPbSNpH_ErXX38lh1pz0l4ACLcBGAsYHQ/fr3.png	(from https://watch--bein.blogspot.com/)
15:13:12	45400/45400	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Mar%202022%2011:01:59%20GMT	https://watch--bein.blogspot.com/p/sky-mainevent.html	C:/Users/DAMERGI/Downloads/watch%20bein/watch--bein.blogspot.com/p/sky-mainevent.html	(from https://watch--bein.blogspot.com/)
15:13:12	13931/13931	---M--	200	added ('OK')	image/png	etag:%22v6f11%22	https://1.bp.blogspot.com/-jCvUZayMwqM/W_cEO0IH5KI/AAAAAAAAbwU/Is8rwcei_UgPfmlLMb-n7L29uQXnPtYeACLcBGAs/s1600/1-mainevent.png	C:/Users/DAMERGI/Downloads/watch%20bein/1.bp.blogspot.com/-jCvUZayMwqM/W_cEO0IH5KI/AAAAAAAAbwU/Is8rwcei_UgPfmlLMb-n7L29uQXnPtYeACLcBGAs/s1600/1-mainevent.png	(from https://watch--bein.blogspot.com/)
15:13:12	45495/45495	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Mar%202022%2011:01:59%20GMT	https://watch--bein.blogspot.com/p/sky-premierleague.html	C:/Users/DAMERGI/Downloads/watch%20bein/watch--bein.blogspot.com/p/sky-premierleague.html	(from https://watch--bein.blogspot.com/)
15:13:13	14367/14367	---M--	200	added ('OK')	image/png	etag:%22v6f10%22	https://4.bp.blogspot.com/-7YuxsxhI-_k/W_cEO78VzAI/AAAAAAAAbwY/kZ_dYccQ0lkfDBwNGmbuZIk81Lu3bgwyQCLcBGAs/s1600/2-premierleague.png	C:/Users/DAMERGI/Downloads/watch%20bein/4.bp.blogspot.com/-7YuxsxhI-_k/W_cEO78VzAI/AAAAAAAAbwY/kZ_dYccQ0lkfDBwNGmbuZIk81Lu3bgwyQCLcBGAs/s1600/2-premierleague.png	(from https://watch--bein.blogspot.com/)
15:13:13	45383/45383	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Mar%202022%2011:01:59%20GMT	https://watch--bein.blogspot.com/p/sky-football.html	C:/Users/DAMERGI/Downloads/watch%20bein/watch--bein.blogspot.com/p/sky-football.html	(from https://watch--bein.blogspot.com/)
15:13:13	13657/13657	---M--	200	added ('OK')	image/png	etag:%22v6f0f%22	https://3.bp.blogspot.com/-c0bvtSemIls/W_cEPoQGXpI/AAAAAAAAbwc/1erRTUA77Fg-Ry9eFY5SjV3_c3YzrH5EwCLcBGAs/s1600/3-football.png	C:/Users/DAMERGI/Downloads/watch%20bein/3.bp.blogspot.com/-c0bvtSemIls/W_cEPoQGXpI/AAAAAAAAbwc/1erRTUA77Fg-Ry9eFY5SjV3_c3YzrH5EwCLcBGAs/s1600/3-football.png	(from https://watch--bein.blogspot.com/)
15:13:14	45366/45366	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Mar%202022%2011:01:59%20GMT	https://watch--bein.blogspot.com/p/sky-cricket.html	C:/Users/DAMERGI/Downloads/watch%20bein/watch--bein.blogspot.com/p/sky-cricket.html	(from https://watch--bein.blogspot.com/)
15:13:14	13376/13376	---M--	200	added ('OK')	image/png	etag:%22v6f0e%22	https://1.bp.blogspot.com/-T7dND3lcg3A/W_cEP2WS1MI/AAAAAAAAbwg/eJnAijAyW4ExDrCxlLFaZk7aDd0binDbACLcBGAs/s1600/4-cricket.png	C:/Users/DAMERGI/Downloads/watch%20bein/1.bp.blogspot.com/-T7dND3lcg3A/W_cEP2WS1MI/AAAAAAAAbwg/eJnAijAyW4ExDrCxlLFaZk7aDd0binDbACLcBGAs/s1600/4-cricket.png	(from https://watch--bein.blogspot.com/)
15:13:15	45315/45315	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Mar%202022%2011:01:59%20GMT	https://watch--bein.blogspot.com/p/sky-golf.html	C:/Users/DAMERGI/Downloads/watch%20bein/watch--bein.blogspot.com/p/sky-golf.html	(from https://watch--bein.blogspot.com/)
15:13:15	13027/13027	---M--	200	added ('OK')	image/png	etag:%22v6f10%22	https://4.bp.blogspot.com/-c_jo9ksZvXc/W_cEPwFPXoI/AAAAAAAAbwk/cCj4PCoVLechZFRttQsBn62iSaCZZvqfgCLcBGAs/s1600/5-golf.png	C:/Users/DAMERGI/Downloads/watch%20bein/4.bp.blogspot.com/-c_jo9ksZvXc/W_cEPwFPXoI/AAAAAAAAbwk/cCj4PCoVLechZFRttQsBn62iSaCZZvqfgCLcBGAs/s1600/5-golf.png	(from https://watch--bein.blogspot.com/)
15:13:15	45281/45281	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Mar%202022%2011:01:59%20GMT	https://watch--bein.blogspot.com/p/sky-f1.html	C:/Users/DAMERGI/Downloads/watch%20bein/watch--bein.blogspot.com/p/sky-f1.html	(from https://watch--bein.blogspot.com/)
15:13:15	11866/11866	---M--	200	added ('OK')	image/png	etag:%22v6f11%22	https://1.bp.blogspot.com/-X2Szf9NqTD0/W_cEQY95LlI/AAAAAAAAbwo/oYbJ-cRPiRA3cddFLXjJdrdizBXOuoIUACLcBGAs/s1600/6-f1.png	C:/Users/DAMERGI/Downloads/watch%20bein/1.bp.blogspot.com/-X2Szf9NqTD0/W_cEQY95LlI/AAAAAAAAbwo/oYbJ-cRPiRA3cddFLXjJdrdizBXOuoIUACLcBGAs/s1600/6-f1.png	(from https://watch--bein.blogspot.com/)
15:13:16	45349/45349	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Mar%202022%2011:01:59%20GMT	https://watch--bein.blogspot.com/p/sky-action.html	C:/Users/DAMERGI/Downloads/watch%20bein/watch--bein.blogspot.com/p/sky-action.html	(from https://watch--bein.blogspot.com/)
15:13:16	13273/13273	---M--	200	added ('OK')	image/png	etag:%22v6f11%22	https://3.bp.blogspot.com/-mx-uvESjVnc/W_cEQssm8iI/AAAAAAAAbws/U1mFXhuksT4Pd2rTrd_lBKmcXYMugnNfwCLcBGAs/s1600/7-action.png	C:/Users/DAMERGI/Downloads/watch%20bein/3.bp.blogspot.com/-mx-uvESjVnc/W_cEQssm8iI/AAAAAAAAbws/U1mFXhuksT4Pd2rTrd_lBKmcXYMugnNfwCLcBGAs/s1600/7-action.png	(from https://watch--bein.blogspot.com/)
15:13:17	45332/45332	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Mar%202022%2011:01:59%20GMT	https://watch--bein.blogspot.com/p/sky-arena.html	C:/Users/DAMERGI/Downloads/watch%20bein/watch--bein.blogspot.com/p/sky-arena.html	(from https://watch--bein.blogspot.com/)
15:13:17	13192/13192	---M--	200	added ('OK')	image/png	etag:%22v6f10%22	https://4.bp.blogspot.com/-VJGMTGD64IU/W_cEQ088meI/AAAAAAAAbww/etA9bL7r2_8Xbp4fn2-cp_LYt8LClsf_ACLcBGAs/s1600/8-arena.png	C:/Users/DAMERGI/Downloads/watch%20bein/4.bp.blogspot.com/-VJGMTGD64IU/W_cEQ088meI/AAAAAAAAbww/etA9bL7r2_8Xbp4fn2-cp_LYt8LClsf_ACLcBGAs/s1600/8-arena.png	(from https://watch--bein.blogspot.com/)
15:13:18	45318/45318	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Mar%202022%2011:01:59%20GMT	https://watch--bein.blogspot.com/p/sky-news.html	C:/Users/DAMERGI/Downloads/watch%20bein/watch--bein.blogspot.com/p/sky-news.html	(from https://watch--bein.blogspot.com/)
15:13:18	13147/13147	---M--	200	added ('OK')	image/png	etag:%22v6f11%22	https://2.bp.blogspot.com/-7is7E7pU8wg/W_cERJYHWQI/AAAAAAAAbw0/PnV0u_Ne9OwXmRWYJMji8BNnS4PPCmxnwCLcBGAs/s1600/9-news.png	C:/Users/DAMERGI/Downloads/watch%20bein/2.bp.blogspot.com/-7is7E7pU8wg/W_cERJYHWQI/AAAAAAAAbw0/PnV0u_Ne9OwXmRWYJMji8BNnS4PPCmxnwCLcBGAs/s1600/9-news.png	(from https://watch--bein.blogspot.com/)
15:13:18	45315/45315	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Mar%202022%2011:01:59%20GMT	https://watch--bein.blogspot.com/p/sky-mix.html	C:/Users/DAMERGI/Downloads/watch%20bein/watch--bein.blogspot.com/p/sky-mix.html	(from https://watch--bein.blogspot.com/)
15:13:18	12535/12535	---M--	200	added ('OK')	image/png	etag:%22v6f10%22	https://4.bp.blogspot.com/-QmqGGDUI3uI/W_cEO-rRDPI/AAAAAAAAbwQ/oXSyWZGC6koruX446MRilkrd5-PJ_Zb1ACLcBGAs/s1600/10-mix.png	C:/Users/DAMERGI/Downloads/watch%20bein/4.bp.blogspot.com/-QmqGGDUI3uI/W_cEO-rRDPI/AAAAAAAAbwQ/oXSyWZGC6koruX446MRilkrd5-PJ_Zb1ACLcBGAs/s1600/10-mix.png	(from https://watch--bein.blogspot.com/)
15:13:20	6304/6304	---M--	200	added ('OK')	image/png	etag:%22v19ca%22	https://4.bp.blogspot.com/-R4h-6PUsmIA/WrNbQFWi4BI/AAAAAAAAGck/OpBTX0CopMU6dWIbenM_IsNe_DAKk3M8QCK4BGAYYCw/s200/Vu3uuAJ.png	C:/Users/DAMERGI/Downloads/watch%20bein/4.bp.blogspot.com/-R4h-6PUsmIA/WrNbQFWi4BI/AAAAAAAAGck/OpBTX0CopMU6dWIbenM_IsNe_DAKk3M8QCK4BGAYYCw/s200/Vu3uuAJ.png	(from https://watch--bein.blogspot.com/)
15:13:21	6513/6513	---M--	200	added ('OK')	text/javascript	date:Wed,%2023%20Nov%202022%2013:50:40%20GMT	https://watch--bein.blogspot.com/js/cookienotice.js	C:/Users/DAMERGI/Downloads/watch%20bein/watch--bein.blogspot.com/js/cookienotice.js	(from https://watch--bein.blogspot.com/)
15:13:21	1097/1097	---M--	404	error ('Not%20Found')	image/jpeg	date:Wed,%2023%20Nov%202022%2014:13:18%20GMT	https://i.ytimg.com/vi/cH1aRyPNqzA/hqdefault.jpg	C:/Users/DAMERGI/Downloads/watch%20bein/i.ytimg.com/vi/cH1aRyPNqzA/hqdefault.49.delayed	(from https://watch--bein.blogspot.com/p/bein.html)
15:13:22	1097/1097	---M--	404	error ('Not%20Found')	image/jpeg	date:Wed,%2023%20Nov%202022%2014:13:19%20GMT	https://i.ytimg.com/vi/0Y-IRcUJi6o/hqdefault.jpg	C:/Users/DAMERGI/Downloads/watch%20bein/i.ytimg.com/vi/0Y-IRcUJi6o/hqdefault.4a.delayed	(from https://watch--bein.blogspot.com/p/beinnews.html)
15:13:26	95786/95786	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.11.1/jquery.min.js	C:/Users/DAMERGI/Downloads/watch%20bein/ajax.googleapis.com/ajax/libs/jquery/1.11.1/jquery.min.js	(from https://watch--bein.blogspot.com/)
15:13:26	156915/156915	---M--	200	added ('OK')	text/javascript	date:Tue,%2022%20Nov%202022%2014:54:22%20GMT	https://www.blogger.com/static/v1/widgets/2342155703-widgets.js	C:/Users/DAMERGI/Downloads/watch%20bein/www.blogger.com/static/v1/widgets/2342155703-widgets.js	(from https://watch--bein.blogspot.com/)
